id,label
370188614,609
573935276,805
570046922,802
566929573,801
566794303,800
563935953,798
563080358,797
562037280,795
553269394,780
550754277,779
543684264,771
542718857,769
541503074,766
538524127,764
538342276,763
536218249,761
532424207,758
532424057,757
527228697,754
524712193,753
510825033,746
509501012,744
506533755,743
506349368,742
505638649,741
504625467,739
504570258,738
503683136,736
503583914,735
499025819,728
498338089,727
498249492,726
497339147,724
493647191,720
490146241,718
489412378,716
483388829,713
479318383,709
479277538,708
467788542,702
466509085,700
464962402,699
464630240,698
459819307,693
458556830,691
453815110,688
452324926,687
444698841,682
444698423,681
440198926,674
440034175,673
429992237,668
425749507,666
424072433,665
423784099,664
416524254,657
413230170,654
413189790,653
410696773,652
403642609,646
403423201,645
400027560,644
396755422,641
396234622,640
395453570,638
387184076,631
384917989,626
383082531,625
374998651,616
367470976,605
366009985,603
363812871,599
362425739,595
361768936,594
360995330,592
358393622,589
354663232,587
354223874,585
354079878,584
349777549,581
349701764,580
348218618,579
348209410,578
347804616,576
345910463,574
343260199,572
341335118,571
339207275,570
338425270,567
329378711,558
328834800,557
326879249,554
320671190,552
312308907,549
312296343,548
312015387,546
310595744,541
307810208,537
302343426,528
300701563,524
297175066,518
296265454,517
295435231,516
290528398,509
285301623,502
281291819,500
279119214,499
278675485,497
275103418,489
269410374,484
268483356,482
268478994,481
263424684,477
260779582,471
259080868,467
258375652,462
257013415,460
256545945,459
254846861,457
248070966,445
246709747,443
246561032,441
246560605,440
243445221,437
243367253,436
243366923,435
243364413,434
242300865,432
239714518,430
237862599,429
236655323,428
236381413,426
231793808,417
228752030,412
226118764,408
223326520,406
222574305,405
222179550,404
221240794,403
215198258,395
208351869,390
204863814,388
204147625,386
203002990,385
202488944,381
199752938,375
199407962,372
186057567,347
185576684,345
183965723,340
181831491,331
181784915,330
179183298,326
179095901,324
178770743,323
175628796,320
175174862,319
171876570,315
167964629,308
164715809,302
162616317,301
156086694,291
155401285,288
155217504,287
154912351,284
143788732,269
143359115,268
136639959,260
126735017,245
123966586,236
117360390,224
117241425,223
117016799,222
115105083,219
114901621,218
114750274,217
113261129,214
104904618,203
96747830,196
85116320,190
79864085,186
75197454,184
75176499,183
73495174,182
66466254,175
65524965,174
56678572,159
50453981,143
48818807,135
47343997,132
43737414,125
42889587,120
42713885,119
42614016,118
40827038,115
36756682,102
34486400,96
34237285,95
34157450,94
29521827,79
28977631,77
28772222,76
28267055,74
27809911,71
25495734,67
24537403,63
23501310,59
21898429,54
15966247,40
15195245,36
14478021,34
